popularity,vote_count,id,genre_ids,title,vote_average,release_date
9.256,78,15531,"[28, 35]",Get Smart's Bruce and Lloyd Out of Control,5.2,2008-07-01
9.254,55,177047,[18],Decoding Annie Parker,6.2,2014-05-02
9.253,161,449674,[35],Louis C.K.: 2017,7.3,2017-04-04
9.25,90,286817,"[18, 10749]",Anatomy of a Love Seen,4.9,2014-07-28
9.249,199,312827,"[99, 27]",The Nightmare,5.6,2015-06-05
9.249,165,13561,"[35, 27]",Murder Party,5.6,2007-10-12
9.248,55,362409,"[35, 27, 10749]",Trash Fire,5.9,2016-11-03
9.247,227,433471,"[16, 14, 10751]",Lou,7.7,2017-06-16
9.244,56,106845,"[27, 878]",Re-Kill,4.9,2015-10-16
9.244,621,9296,"[35, 18, 878]",S1m0ne,5.9,2002-08-23
9.243,93,46718,"[28, 12, 16]",DC Showcase: Green Arrow,7.3,2010-09-28
9.241,88,71622,"[27, 53]",Atrocious,5.3,2010-10-15
9.24,34,221791,"[80, 9648, 10770]",Garage Sale Mystery,6.1,2013-09-14
9.239,95,156597,[27],Stage Fright,5.4,2014-04-03
9.239,90,94590,"[12, 35, 878]",Angry Video Game Nerd: The Movie,5.7,2014-07-21
9.238,87,595216,"[27, 9648]",Play or Die,5.4,2019-05-10
9.234,79,43943,"[35, 18, 10749]",Jack Goes Boating,5.8,2010-09-23
9.234,86,10071,[35],The Brothers Solomon,5.0,2007-09-07
9.232,41,20110,"[99, 18]",Ashes and Snow,7.6,2005-03-05
9.23,151,450945,[99],I Am Heath Ledger,7.5,2017-04-23
9.228,36,253639,"[99, 10770]",And the Oscar Goes To...,7.1,2014-02-02
9.228,70,14286,"[99, 18, 36]",Why We Fight,7.7,2005-01-01
9.227,79,524789,[27],The Devil's Doorway,5.1,2018-07-13
9.227,429,321751,"[35, 18, 10752]",A Perfect Day,6.6,2015-08-28
9.226,74,217316,[99],1,7.4,2013-09-30
9.225,47,377431,"[18, 10749, 10770]",Appetite for Love,5.6,2016-02-06
9.225,66,118677,"[35, 18]",Why Stop Now?,5.6,2012-08-17
9.224,79,15044,"[18, 36, 10770]",Einstein and Eddington,6.9,2008-11-29
9.222,45,69270,[27],Super Hybrid,5.2,2010-01-01
9.221,69,238302,"[16, 35, 10751]",Saving Santa,5.2,2013-11-05
9.221,34,29751,[99],Batman Unmasked: The Psychology of the Dark Knight,7.6,2008-07-15
9.22,44,345909,[18],Wolves,6.1,2016-10-25
9.22,32,179267,[35],Jay And Silent Bob's Super Groovy Cartoon Movie,5.1,2013-04-20
9.219,130,326094,"[35, 18]",Wiener-Dog,5.6,2016-06-24
9.219,80,55785,[18],Neds,6.7,2010-10-08
9.218,95,97006,[18],Temptation: Confessions of a Marriage Counselor,6.6,2013-03-29
9.215,403,308084,"[35, 18]",Tangerine,7.0,2015-07-10
9.215,51,18759,"[27, 878, 53]",The Cell 2,3.6,2009-02-27
9.214,145,15302,[99],The Pixar Story,7.5,2007-08-28
9.211,32,625651,"[16, 35, 14, 878]","Family Guy Presents: Something, Something, Something, Dark Side",7.0,2010-05-23
9.211,31,72711,[99],The Interrupters,7.0,2011-07-29
9.21,83,428687,"[35, 80, 18]",Deidra & Laney Rob a Train,5.6,2017-01-23
9.21,97,325173,"[28, 80]",Close Range,5.2,2015-12-11
9.21,42,57656,[99],Dangerous Days: Making 'Blade Runner',7.7,2007-12-18
9.21,47,14349,[18],Sleepwalking,6.1,2008-03-14
9.209,41,105945,"[28, 18, 10752, 36]",Memorial Day,6.4,2011-06-06
9.208,34,175541,"[18, 10402]",Black Nativity,5.7,2013-11-27
9.207,104,467867,"[18, 10770]",Paterno,6.4,2018-04-07
9.206,63,581475,[18],Juanita,5.1,2019-03-08
9.206,116,14434,"[35, 10749]",I Think I Love My Wife,5.4,2007-03-16
9.205,66,48373,"[18, 10402, 10749]",Listen to Your Heart,7.4,2010-08-14
9.204,50,352372,"[27, 53]",Darling,5.6,2015-09-24
9.204,338,330112,"[18, 10749, 35]",Ashby,6.2,2015-04-19
9.197,47,469980,[99],Diana: In Her Own Words,7.8,2017-08-06
9.196,115,84185,[99],Chasing Ice,7.5,2012-10-01
9.195,585,152599,"[18, 10749]",The Immigrant,6.3,2013-07-03
9.194,67,14922,"[35, 18, 10749]",Happy Endings,5.7,2005-01-20
9.194,82,9784,"[35, 18, 10749]",Man About Town,5.3,2006-06-08
9.193,75,81232,"[35, 18, 10751]",Foster,6.8,2011-02-10
9.192,49,40039,"[27, 878, 53]",Spiders,4.3,2000-01-01
9.191,98,15192,"[18, 10752]",The Grey Zone,6.5,2001-09-13
9.189,155,139455,"[35, 27, 9648, 53]",Silent Night,5.0,2012-11-30
9.187,59,600836,"[878, 53]",Project Ithaca,6.2,2019-06-07
9.186,62,149786,"[18, 10751, 10770, 10749]",Christmas with Holly,6.3,2012-12-09
9.186,190,63578,"[35, 18]",The Trip,6.9,2011-04-24
9.185,70,16131,"[18, 53]",Undertow,6.1,2004-10-22
9.184,61,535340,[35],Iliza Shlesinger: Elder Millennial,7.1,2018-07-24
