movie,franchise
"Dec 17, 1999",Stuart Little
Stuart Little,Stuart Little
"Dec 8, 2004",Blade
Blade: Trinity,Blade
"Mar 22, 2002",Blade
Blade 2,Blade
"Aug 21, 1998",Blade
Blade,Blade
"Feb 18, 2011",Big Momma's House
"Big Mommas: Like Father, Li…",Big Momma's House
"Jan 27, 2006",Big Momma's House
Big Momma's House 2,Big Momma's House
"Jun 2, 2000",Big Momma's House
Big Momma's House,Big Momma's House
"Feb 3, 2017",Ring
Rings,Ring
"Mar 18, 2005",Ring
The Ring Two,Ring
"Oct 18, 2002",Ring
The Ring,Ring
"Jun 26, 2015",Ted
Ted 2,Ted
"Jun 29, 2012",Ted
Ted,Ted
"Jul 12, 2013",Grown Ups
Grown Ups 2,Grown Ups
"Jun 25, 2010",Grown Ups
Grown Ups,Grown Ups
"Dec 25, 1996",Terms of Endearment
The Evening Star,Terms of Endearment
"Nov 23, 1983",Terms of Endearment
Terms of Endearment,Terms of Endearment
"Dec 21, 2005",Cheaper by the Dozen
Cheaper by the Dozen 2,Cheaper by the Dozen
"Dec 25, 2003",Cheaper by the Dozen
Cheaper by the Dozen,Cheaper by the Dozen
"Jan 6, 2017",Underworld
Underworld: Blood Wars,Underworld
"Jan 20, 2012",Underworld
Underworld: Awakening,Underworld
"Jan 23, 2009",Underworld
Underworld 3: Rise of the L…,Underworld
"Jan 20, 2006",Underworld
Underworld: Evolution,Underworld
"Sep 19, 2003",Underworld
Underworld,Underworld
"Mar 27, 2013",G.I. Joe
G.I. Joe: Retaliation,G.I. Joe
"Aug 7, 2009",G.I. Joe
G.I. Joe: The Rise of Cobra,G.I. Joe
G.I. Joe: The Movie,G.I. Joe
"Sep 16, 2016",Blair Witch Project
Blair Witch,Blair Witch Project
"Oct 27, 2000",Blair Witch Project
Book of Shadows: Blair Witch 2,Blair Witch Project
"Jul 14, 1999",Blair Witch Project
The Blair Witch Project,Blair Witch Project
"Nov 9, 1984","Oh, God!"
"Oh God, You Devil!","Oh, God!"
"Oct 3, 1980","Oh, God!"
"Oh, God! Book II","Oh, God!"
"Oct 7, 1977","Oh, God!"
"Oh, God!","Oh, God!"
"Aug 11, 2004",Princess Diaries
The Princess Diaries 2: Roy…,Princess Diaries
"Aug 3, 2001",Princess Diaries
The Princess Diaries,Princess Diaries
"May 17, 2019",John Wick
John Wick: Chapter 3 â Para…,John Wick
"Feb 10, 2017",John Wick
John Wick: Chapter Two,John Wick
"Oct 24, 2014",John Wick
John Wick,John Wick
"Apr 11, 2014",Rio
Rio 2,Rio
"Apr 15, 2011",Rio
Rio,Rio
"Aug 20, 2004",Benji
Benji: Off the Leash!,Benji
"Jun 5, 1987",Benji
Benji the Hunted,Benji
"Jul 11, 1980",Benji
Oh Heavenly Dog,Benji
"Jun 5, 1977",Benji
For the Love of Benji,Benji
Benji,Benji
"Jan 20, 2017",xXx
xXx: Return of Xander Cage,xXx
"Apr 29, 2005",xXx
XXX: State of the Union,xXx
"Aug 9, 2002",xXx
xXx,xXx
"Aug 14, 2020",SpongeBob SquarePants
The SpongeBob Movie: Sponge…,SpongeBob SquarePants
"Feb 6, 2015",SpongeBob SquarePants
The SpongeBob Movie: Sponge…,SpongeBob SquarePants
"Nov 19, 2004",SpongeBob SquarePants
SpongeBob SquarePants: The …,SpongeBob SquarePants
"Jul 4, 2018",The Purge
The First Purge,The Purge
"Jul 1, 2016",The Purge
The Purge: Election Year,The Purge
"Jul 18, 2014",The Purge
The Purge: Anarchy,The Purge
"Jun 7, 2013",The Purge
The Purge,The Purge
"Dec 22, 1995",Grumpy Old Men
Grumpier Old Men,Grumpy Old Men
"Dec 25, 1993",Grumpy Old Men
Grumpy Old Men,Grumpy Old Men
"May 27, 2010",Sex and the City
Sex and the City 2,Sex and the City
"May 30, 2008",Sex and the City
Sex and the City,Sex and the City
"Jul 20, 2018",Mamma Mia
Mamma Mia: Here We Go Again!,Mamma Mia
"Jul 18, 2008",Mamma Mia
Mamma Mia!,Mamma Mia
"Jul 8, 1988",Arthur
Arthur 2: On the Rocks,Arthur
"Jul 17, 1981",Arthur
Arthur,Arthur
Legally Blondes,Legally Blonde
"Jul 2, 2003",Legally Blonde
"Legally Blonde 2: Red, Whit…",Legally Blonde
"Jul 13, 2001",Legally Blonde
Legally Blonde,Legally Blonde
"Feb 18, 2005",Mask
Son of the Mask,Mask
"Jul 29, 1994",Mask
The Mask,Mask
"Apr 7, 2017",The Smurfs
Smurfs: The Lost Village,The Smurfs
"Jul 31, 2013",The Smurfs
The Smurfs 2,The Smurfs
"Jul 29, 2011",The Smurfs
The Smurfs,The Smurfs
"Jul 14, 1995",Under Siege
Under Siege 2: Dark Territory,Under Siege
"Oct 9, 1992",Under Siege
Under Siege,Under Siege
"Sep 27, 2013",Cloudy with a Chance of Meatballs
Cloudy with a Chance of Mea…,Cloudy with a Chance of Meatballs
"Sep 18, 2009",Cloudy with a Chance of Meatballs
Cloudy with a Chance of Mea…,Cloudy with a Chance of Meatballs
"Mar 30, 2012",Clash of the Titans
Wrath of the Titans,Clash of the Titans
"Apr 1, 2010",Clash of the Titans
Clash of the Titans,Clash of the Titans
"Dec 17, 2010",Tron
Tron: Legacy,Tron
"Jul 9, 1982",Tron
Tron,Tron
"Jun 27, 2008",French Connection
Une vieille maÃ®tresse,French Connection
French Connection II,French Connection
The French Connection,French Connection
"Jun 21, 2019",Child's Play
Childâs Play,Child's Play
"Oct 3, 2017",Child's Play
Cult of Chucky,Child's Play
"Oct 8, 2013",Child's Play
Curse of Chucky,Child's Play
"Nov 12, 2004",Child's Play
Seed of Chucky,Child's Play
"Oct 16, 1998",Child's Play
Bride of Chucky,Child's Play
"Aug 30, 1991",Child's Play
Child's Play 3,Child's Play
"Nov 9, 1990",Child's Play
Child's Play 2,Child's Play
"Nov 9, 1988",Child's Play
Child's Play,Child's Play
"Jan 5, 2018",Insidious
Insidious: The Last Key,Insidious
"Jun 5, 2015",Insidious
Insidious Chapter 3,Insidious
"Sep 13, 2013",Insidious
Insidious Chapter 2,Insidious
"Apr 1, 2011",Insidious
Insidious,Insidious
"Jun 26, 2019",Annabelle
Annabelle Comes Home,Annabelle
"Aug 11, 2017",Annabelle
Annabelle: Creation,Annabelle
"Oct 3, 2014",Annabelle
Annabelle,Annabelle
"Apr 15, 2016",Barbershop
Barbershop: The Next Cut,Barbershop
"Feb 6, 2004",Barbershop
Barbershop 2: Back in Business,Barbershop
"Sep 13, 2002",Barbershop
Barbershop,Barbershop
"Aug 8, 2014",Step Up
Step Up All In,Step Up
"Jul 27, 2012",Step Up
Step Up Revolution,Step Up
"Aug 6, 2010",Step Up
Step Up 3D,Step Up
"Feb 14, 2008",Step Up
Step Up 2 the Streets,Step Up
"Aug 11, 2006",Step Up
Step Up,Step Up
"Mar 31, 2006",Basic Instinct
Basic Instinct 2,Basic Instinct
"Mar 20, 1992",Basic Instinct
Basic Instinct,Basic Instinct
"Nov 10, 2017",Daddyâs Home
Daddyâs Home 2,Daddyâs Home
"Dec 25, 2015",Daddyâs Home
Daddyâs Home,Daddyâs Home
"Dec 18, 2013",Anchorman
Anchorman 2: The Legend Con…,Anchorman
"Jul 9, 2004",Anchorman
Anchorman: The Legend of Ro…,Anchorman
"Jun 29, 1984",Cannonball Run
Cannonball Run II,Cannonball Run
"Jun 19, 1981",Cannonball Run
The Cannonball Run,Cannonball Run
"Oct 20, 2015",Elf
Elf: Buddy's Musical Christmas,Elf
"Nov 7, 2003",Elf
Elf,Elf
"Jan 26, 2018",The Maze Runner
Maze Runner: The Death Cure,The Maze Runner
"Sep 18, 2015",The Maze Runner
Maze Runner: The Scorch Trials,The Maze Runner
"Sep 19, 2014",The Maze Runner
The Maze Runner,The Maze Runner
"Oct 4, 1996",Mighty Ducks
D3: The Mighty Ducks,Mighty Ducks
"Mar 25, 1994",Mighty Ducks
D2: The Mighty Ducks,Mighty Ducks
"Oct 2, 1992",Mighty Ducks
The Mighty Ducks,Mighty Ducks
"Aug 15, 2014",The Expendables
The Expendables 3,The Expendables
"Aug 17, 2012",The Expendables
The Expendables 2,The Expendables
"Aug 13, 2010",The Expendables
The Expendables,The Expendables
"Apr 17, 2015",Paul Blart: Mall Cop
Paul Blart: Mall Cop 2,Paul Blart: Mall Cop
"Jan 16, 2009",Paul Blart: Mall Cop
Paul Blart: Mall Cop,Paul Blart: Mall Cop
"Feb 10, 2012",Journey to the Center of the Earth
Journey 2: The Mysterious I…,Journey to the Center of the Earth
"Jul 11, 2008",Journey to the Center of the Earth
Journey to the Center of th…,Journey to the Center of the Earth
"Oct 28, 2005",Zorro
The Legend of Zorro,Zorro
"Jul 17, 1998",Zorro
The Mask of Zorro,Zorro
"Nov 5, 1993",RoboCop
RoboCop 3,RoboCop
"Jun 22, 1990",RoboCop
RoboCop 2,RoboCop
"Jul 17, 1987",RoboCop
RoboCop,RoboCop
"Aug 23, 2019",Fallen
Angel Has Fallen,Fallen
"Mar 4, 2016",Fallen
London Has Fallen,Fallen
"Mar 22, 2013",Fallen
Olympus Has Fallen,Fallen
"Jan 15, 2016",Ride Along
Ride Along 2,Ride Along
"Jan 17, 2014",Ride Along
Ride Along,Ride Along
"Mar 24, 2005",Miss Congeniality
Miss Congeniality 2: Armed …,Miss Congeniality
"Dec 22, 2000",Miss Congeniality
Miss Congeniality,Miss Congeniality
"Dec 6, 2002",Analyze This
Analyze That,Analyze This
"Mar 5, 1999",Analyze This
Analyze This,Analyze This
"Oct 28, 2014",Beethoven
Beethoven's Treasure Tail,Beethoven
Beethoven's Christmas Adven…,Beethoven
Beethoven's Big Break,Beethoven
"Dec 17, 1993",Beethoven
Beethoven's 2nd,Beethoven
"Apr 3, 1992",Beethoven
Beethoven,Beethoven
"Aug 8, 1997",Free Willy
Free Willy 3: The Rescue,Free Willy
"Jul 19, 1995",Free Willy
Free Willy 2: The Adventure…,Free Willy
"Jul 16, 1993",Free Willy
Free Willy,Free Willy
"Feb 12, 2021",Kingsman
The Kingâs Man,Kingsman
"Sep 22, 2017",Kingsman
Kingsman: The Golden Circle,Kingsman
"Feb 13, 2015",Kingsman
Kingsman: The Secret Service,Kingsman
"Nov 23, 1988",Cocoon
Cocoon: The Return,Cocoon
"Jun 21, 1985",Cocoon
Cocoon,Cocoon
"Jan 3, 2020",Grudge
The Grudge,Grudge
The Grudge 3,Grudge
"Oct 13, 2006",Grudge
The Grudge 2,Grudge
"Oct 22, 2004",Grudge
The Grudge,Grudge
"Feb 5, 2005",Mulan
Mulan 2,Mulan
"Jun 19, 1998",Mulan
Mulan,Mulan
"May 21, 1993",Hot Shots
Hot Shots! Part Deux,Hot Shots
"Jul 31, 1991",Hot Shots
Hot Shots!,Hot Shots
"Mar 4, 2005",Get Shorty
Be Cool,Get Shorty
"Oct 20, 1995",Get Shorty
Get Shorty,Get Shorty
"Apr 22, 2016",Snow White and the Huntsman
The Huntsman: Winterâs War,Snow White and the Huntsman
"Jun 1, 2012",Snow White and the Huntsman
Snow White and the Huntsman,Snow White and the Huntsman
"May 20, 2016",Neighbors
Neighbors 2: Sorority Rising,Neighbors
"May 9, 2014",Neighbors
Neighbors,Neighbors
"Apr 29, 2016",Garry Marshall's Holiday Franchise
Motherâs Day,Garry Marshall's Holiday Franchise
"Dec 9, 2011",Garry Marshall's Holiday Franchise
New Yearâs Eve,Garry Marshall's Holiday Franchise
"Feb 12, 2010",Garry Marshall's Holiday Franchise
Valentine's Day,Garry Marshall's Holiday Franchise
The Topkapi Affair,Thomas Crown Affair
"Aug 6, 1999",Thomas Crown Affair
The Thomas Crown Affair,Thomas Crown Affair
The Thomas Crown Affair,Thomas Crown Affair
"Feb 6, 1998",Blues Brothers
Blues Brothers 2000,Blues Brothers
"Jun 20, 1980",Blues Brothers
The Blues Brothers,Blues Brothers
I'll Always Know What You D…,I Know What You Did Last Summer
"Nov 13, 1998",I Know What You Did Last Summer
I Still Know What You Did L…,I Know What You Did Last Summer
"Oct 17, 1997",I Know What You Did Last Summer
I Know What You Did Last Su…,I Know What You Did Last Summer
"Apr 12, 2020",Mortal Kombat
Mortal Kombat Legends: Scor…,Mortal Kombat
"Nov 21, 1997",Mortal Kombat
Mortal Kombat: Annihilation,Mortal Kombat
"Aug 18, 1995",Mortal Kombat
Mortal Kombat,Mortal Kombat
"Jan 14, 1994",Death Wish
Death Wish V: The Face of D…,Death Wish
"Nov 6, 1987",Death Wish
Death Wish 4: The Crackdown,Death Wish
"Nov 1, 1985",Death Wish
Death Wish 3,Death Wish
"Feb 19, 1982",Death Wish
Death Wish II,Death Wish
Death Wish,Death Wish
"Jul 20, 2018",The Equalizer
The Equalizer 2,The Equalizer
"Sep 26, 2014",The Equalizer
The Equalizer,The Equalizer
"Aug 19, 2011",Conan
Conan the Barbarian,Conan
"Jun 29, 1984",Conan
Conan the Destroyer,Conan
"May 14, 1982",Conan
Conan the Barbarian,Conan
"May 18, 2001",The Red Curtain Trilogy
Moulin Rouge,The Red Curtain Trilogy
"Nov 1, 1996",The Red Curtain Trilogy
Romeo+Juliet,The Red Curtain Trilogy
"Feb 1, 1993",The Red Curtain Trilogy
Strictly Ballroom,The Red Curtain Trilogy
"Feb 17, 2012",Ghost Rider
Ghost Rider: Spirit of Veng…,Ghost Rider
"Feb 16, 2007",Ghost Rider
Ghost Rider,Ghost Rider
"May 19, 2017",Diary of a Wimpy Kid
Diary of a Wimpy Kid: The L…,Diary of a Wimpy Kid
"Aug 3, 2012",Diary of a Wimpy Kid
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid
"Mar 25, 2011",Diary of a Wimpy Kid
Diary of a Wimpy Kid: Rodri…,Diary of a Wimpy Kid
"Mar 19, 2010",Diary of a Wimpy Kid
Diary of a Wimpy Kid,Diary of a Wimpy Kid
"Nov 25, 2020",The Croods
The Croods: A New Age,The Croods
"Mar 22, 2013",The Croods
The Croods,The Croods
"Feb 26, 2016","Crouching Tiger, Hidden Dragon"
"Crouching Tiger, Hidden Dra…","Crouching Tiger, Hidden Dragon"
"Dec 8, 2000","Crouching Tiger, Hidden Dragon"
"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon"
"Nov 22, 2002",Friday
Friday After Next,Friday
"Jan 12, 2000",Friday
Next Friday,Friday
"Apr 26, 1995",Friday
Friday,Friday
"Apr 12, 2019",Hellboy
Hellboy,Hellboy
"Jul 11, 2008",Hellboy
Hellboy II: The Golden Army,Hellboy
"Apr 2, 2004",Hellboy
Hellboy,Hellboy
"Nov 12, 1993",Ernest
Ernest Rides Again,Ernest
"Oct 11, 1991",Ernest
Ernest Scared Stupid,Ernest
"Apr 6, 1990",Ernest
Ernest Goes to Jail,Ernest
"Nov 11, 1988",Ernest
Ernest Saves Christmas,Ernest
"May 22, 1987",Ernest
Ernest Goes to Camp,Ernest
"Apr 16, 2004",Kill Bill
Kill Bill: Volume 2,Kill Bill
"Oct 10, 2003",Kill Bill
Kill Bill: Volume 1,Kill Bill
"Jul 1, 2015",Magic Mike
Magic Mike XXL,Magic Mike
"Jun 29, 2012",Magic Mike
Magic Mike,Magic Mike
"Sep 15, 2020",Cats and Dogs
Cats & Dogs 3: Paws Unite!,Cats and Dogs
"Jul 30, 2010",Cats and Dogs
Cats & Dogs: The Revenge of…,Cats and Dogs
"Jul 4, 2001",Cats and Dogs
Cats & Dogs,Cats and Dogs
"Jun 10, 2016",Now You See Me
Now You See Me 2,Now You See Me
"May 31, 2013",Now You See Me
Now You See Me,Now You See Me
"Sep 16, 2016",Bridget Jones
Bridget Jonesâs Baby,Bridget Jones
"Nov 12, 2004",Bridget Jones
Bridget Jones: The Edge Of …,Bridget Jones
"Apr 13, 2001",Bridget Jones
Bridget Jones's Diary,Bridget Jones
"Sep 6, 2013",Riddick
Riddick,Riddick
"Jun 11, 2004",Riddick
The Chronicles of Riddick,Riddick
"Feb 18, 2000",Riddick
Pitch Black,Riddick
"Jul 23, 1993",Stakeout
Another Stakeout,Stakeout
"Aug 5, 1987",Stakeout
Stakeout,Stakeout
"Mar 17, 1989",Fletch
Fletch Lives,Fletch
"May 31, 1985",Fletch
Fletch,Fletch
"Nov 26, 2014",Horrible Bosses
Horrible Bosses 2,Horrible Bosses
"Jul 8, 2011",Horrible Bosses
Horrible Bosses,Horrible Bosses
"Aug 1, 1990",Young Guns
Young Guns II,Young Guns
"Aug 12, 1988",Young Guns
Young Guns,Young Guns
"Nov 1, 2017",Bad Moms
A Bad Moms Christmas,Bad Moms
"Jul 29, 2016",Bad Moms
Bad Moms,Bad Moms
"Nov 2, 1990",Purple Rain
Graffiti Bridge,Purple Rain
"Jul 27, 1984",Purple Rain
Purple Rain,Purple Rain
"Jul 25, 2008",X-Files
The X-Files: I Want to Believe,X-Files
"Jun 19, 1998",X-Files
The X Files: Fight the Future,X-Files
"Oct 6, 2017",Blade Runner
Blade Runner 2049,Blade Runner
"Jun 25, 1982",Blade Runner
Blade Runner,Blade Runner
"Apr 17, 1998",Major League
Major League: Back to the M…,Major League
"Mar 30, 1994",Major League
Major League II,Major League
"Apr 7, 1989",Major League
Major League,Major League
"Apr 23, 2021",A Quiet Place
A Quiet Place: Part II,A Quiet Place
"Apr 6, 2018",A Quiet Place
A Quiet Place,A Quiet Place
"Feb 7, 2003",Shanghai Noon
Shanghai Knights,Shanghai Noon
"May 26, 2000",Shanghai Noon
Shanghai Noon,Shanghai Noon
"Jul 16, 2021",Space Jam
Space Jam: A New Legacy,Space Jam
"Nov 15, 1996",Space Jam
Space Jam,Space Jam
"Apr 4, 2007",Are We There Yet?
Are We Done Yet?,Are We There Yet?
"Jan 21, 2005",Are We There Yet?
Are We There Yet?,Are We There Yet?
"Nov 8, 2019",The Shining
Doctor Sleep,The Shining
"May 23, 1980",The Shining
The Shining,The Shining
"Aug 7, 2013",Percy Jackson
Percy Jackson: Sea of Monsters,Percy Jackson
"Feb 12, 2010",Percy Jackson
Percy Jackson & the Olympia…,Percy Jackson
"Mar 26, 2021",The Boss Baby
The Boss Baby: Family Business,The Boss Baby
"Sep 1, 2020",The Boss Baby
The Boss Baby: Get That Baby!,The Boss Baby
"Mar 31, 2017",The Boss Baby
The Boss Baby,The Boss Baby
"Feb 5, 2019",Cloverfield
The Cloverfield Paradox,Cloverfield
"Mar 11, 2016",Cloverfield
10 Cloverfield Lane,Cloverfield
"Jan 18, 2008",Cloverfield
Cloverfield,Cloverfield
"Jun 20, 2014",Think Like a Man
Think Like a Man Too,Think Like a Man
"Apr 20, 2012",Think Like a Man
Think Like a Man,Think Like a Man
"Aug 28, 2020",Bill & Ted
Bill & Ted Face the Music,Bill & Ted
"Jul 19, 1991",Bill & Ted
Bill & Ted's Bogus Journey,Bill & Ted
"Feb 17, 1989",Bill & Ted
Bill & Tedâs Excellent Adve…,Bill & Ted
Anacondas: Trail of Blood,Anaconda
Anaconda 3: Offspring,Anaconda
"Aug 27, 2004",Anaconda
Anacondas: The Hunt for the…,Anaconda
"Apr 11, 1997",Anaconda
Anaconda,Anaconda
"Oct 18, 2019",View Askewniverse
Jay and Silent Bob Reboot,View Askewniverse
"May 6, 2014",View Askewniverse
Jay & Silent Bob's Super Gr…,View Askewniverse
"Jul 21, 2006",View Askewniverse
Clerks II,View Askewniverse
"Aug 24, 2001",View Askewniverse
Jay and Silent Bob Strike Back,View Askewniverse
"Nov 12, 1999",View Askewniverse
Dogma,View Askewniverse
"Apr 4, 1997",View Askewniverse
Chasing Amy,View Askewniverse
"Oct 20, 1995",View Askewniverse
Mallrats,View Askewniverse
"Oct 19, 1994",View Askewniverse
Clerks,View Askewniverse
Meatballs III,Meatballs
"Jul 27, 1984",Meatballs
Meatballs II,Meatballs
"Jun 29, 1979",Meatballs
Meatballs,Meatballs
"Aug 8, 2007",Daddy Day Care
Daddy Day Camp,Daddy Day Care
"May 9, 2003",Daddy Day Care
Daddy Day Care,Daddy Day Care
"Mar 23, 2018",Pacific Rim
Pacific Rim: Uprising,Pacific Rim
"Jul 12, 2013",Pacific Rim
Pacific Rim,Pacific Rim
"Dec 25, 2007",AVP
Aliens vs. Predator - Requiem,AVP
"Aug 13, 2004",AVP
AVP: Alien Vs. Predator,AVP
"Jul 3, 1991",Problem Child
Problem Child 2,Problem Child
"Jul 27, 1990",Problem Child
Problem Child,Problem Child
"May 14, 2019",Backdraft
Backdraft II,Backdraft
"May 24, 1991",Backdraft
Backdraft,Backdraft
"Nov 25, 1998",Babe
Babe: Pig in the City,Babe
"Aug 4, 1995",Babe
Babe,Babe
"Feb 27, 2004",Dirty Dancing
Dirty Dancing Havana Nights,Dirty Dancing
"Aug 21, 1987",Dirty Dancing
Dirty Dancing,Dirty Dancing
"Jul 18, 2014",Planes
Planes: Fire and Rescue,Planes
"Aug 9, 2013",Planes
Disney Planes,Planes
"Mar 24, 2017",Power Rangers
Power Rangers,Power Rangers
"Dec 31, 2016",Power Rangers
DÅbutsu Sentai JÅ«ÅjÄ Tai Ni…,Power Rangers
"Dec 31, 2015",Power Rangers
Power Rangers The Train For…,Power Rangers
"Mar 5, 2013",Power Rangers
Power Rangers: Clash of the…,Power Rangers
"Jun 30, 1995",Power Rangers
Mighty Morphin Power Ranger…,Power Rangers
"Mar 25, 1983",Black Stallion
The Black Stallion Returns,Black Stallion
"Oct 17, 1979",Black Stallion
The Black Stallion,Black Stallion
"Oct 18, 2019",Zombieland
Zombieland: Double Tap,Zombieland
"Oct 2, 2009",Zombieland
Zombieland,Zombieland
"Jul 19, 2013",RED
RED 2,RED
"Oct 15, 2010",RED
Red,RED
Revenge of the Nerds IV: Ne…,Revenge of the Nerds
Revenge of the Nerds III: T…,Revenge of the Nerds
"Jul 10, 1987",Revenge of the Nerds
Revenge of the Nerds II: Ne…,Revenge of the Nerds
"Jul 20, 1984",Revenge of the Nerds
Revenge of the Nerds,Revenge of the Nerds
"Apr 10, 1998",Species
Species 2,Species
"Jul 7, 1995",Species
Species,Species
"Feb 11, 1994",My Girl
My Girl 2,My Girl
"Nov 27, 1991",My Girl
My Girl,My Girl
"Apr 10, 2020",Trolls
Trolls: World Tour,Trolls
"Nov 4, 2016",Trolls
Trolls,Trolls
"Sep 24, 2010",Wall Street
Wall Street 2: Money Never …,Wall Street
"Dec 11, 1987",Wall Street
Wall Street,Wall Street
"Jul 22, 1988",Caddyshack
Caddyshack II,Caddyshack
"Jul 25, 1980",Caddyshack
Caddyshack,Caddyshack
"Nov 22, 1991",American Tail
An American Tail: Fievel Go…,American Tail
"Nov 21, 1986",American Tail
An American Tail,American Tail
"Mar 8, 1996",Homeward Bound
Homeward Bound II: Lost in …,Homeward Bound
"Feb 3, 1993",Homeward Bound
Homeward Bound: The Incredi…,Homeward Bound
"Jan 24, 1997",A Fish Called Wanda
Fierce Creatures,A Fish Called Wanda
"Jul 15, 1988",A Fish Called Wanda
A Fish Called Wanda,A Fish Called Wanda
"Sep 4, 2015",Transporter
The Transporter Refueled,Transporter
"Nov 26, 2008",Transporter
Transporter 3,Transporter
"Sep 2, 2005",Transporter
The Transporter 2,Transporter
"Oct 11, 2002",Transporter
The Transporter,Transporter
"Mar 23, 2018",Gnomeo and Juliet
Sherlock Gnomes,Gnomeo and Juliet
"Feb 11, 2011",Gnomeo and Juliet
Gnomeo and Juliet,Gnomeo and Juliet
"Dec 25, 1997",American Werewolf
An American Werewolf in Paris,American Werewolf
"Aug 21, 1981",American Werewolf
An American Werewolf in London,American Werewolf
"Aug 13, 2019",The Angry Birds Movie
The Angry Birds Movie 2,The Angry Birds Movie
"May 20, 2016",The Angry Birds Movie
The Angry Birds Movie,The Angry Birds Movie
"Oct 21, 2016",Jack Reacher
Jack Reacher: Never Go Back,Jack Reacher
"Dec 21, 2012",Jack Reacher
Jack Reacher,Jack Reacher
Garfield's Pet Force,Garfield
"Jun 16, 2006",Garfield
Garfield: A Tail of Two Kit…,Garfield
"Jun 11, 2004",Garfield
Garfield: The Movie,Garfield
"Jun 4, 2005",Crow
The Crow: Wicked Prayer,Crow
"Aug 30, 1996",Crow
The Crow: City of Angels,Crow
"May 11, 1994",Crow
The Crow,Crow
"Nov 6, 2015",Peanuts
The Peanuts Movie,Peanuts
"May 24, 2011",Peanuts
Happiness is a Warm Blanket…,Peanuts
"Sep 21, 2010",Peanuts
"He's Your Dog, Charlie Brown",Peanuts
"Jan 26, 2010",Peanuts
"You're a Good Man, Charlie …",Peanuts
"Oct 6, 2009",Peanuts
A Charlie Brown Christmas,Peanuts
"May 30, 1980",Peanuts
"Bon Voyage, Charlie Brown (…",Peanuts
"Aug 3, 1977",Peanuts
"Race for Your Life, Charlie…",Peanuts
"It's the Easter Beagle, Cha…",Peanuts
A Charlie Brown Thanksgiving,Peanuts
"It's the Great Pumpkin, Cha…",Peanuts
"Aug 12, 2005",Deuce Bigelow
Deuce Bigalow: European Gigolo,Deuce Bigelow
"Dec 10, 1999",Deuce Bigelow
Deuce Bigalow: Male Gigolo,Deuce Bigelow
"Jul 6, 1988",Short Circuit
Short Circuit 2,Short Circuit
"May 9, 1986",Short Circuit
Short Circuit,Short Circuit
"Apr 8, 2022",Sonic The Hedgehog
Sonic the Hedgehog 2,Sonic The Hedgehog
"Feb 14, 2020",Sonic The Hedgehog
Sonic The Hedgehog,Sonic The Hedgehog
"Sep 12, 2003",El Mariachi
Once Upon a Time in Mexico,El Mariachi
"Aug 25, 1995",El Mariachi
Desperado,El Mariachi
"Feb 26, 1993",El Mariachi
El Mariachi,El Mariachi
"Jan 12, 1994",House Party
House Party 3,House Party
"Oct 23, 1991",House Party
House Party 2,House Party
"Mar 9, 1990",House Party
House Party,House Party
"Aug 23, 1996",Brady Bunch
A Very Brady Sequel,Brady Bunch
"Feb 17, 1995",Brady Bunch
The Brady Bunch Movie,Brady Bunch
"Dec 31, 2002",Ripley
Ripley's Game,Ripley
"Dec 24, 1999",Ripley
The Talented Mr. Ripley,Ripley
"Nov 15, 2013",The Best Man
The Best Man Holiday,The Best Man
"Oct 22, 1999",The Best Man
The Best Man,The Best Man
"Nov 19, 1994",Chinatown
Huozhe,Chinatown
"Aug 10, 1990",Chinatown
The Two Jakes,Chinatown
Chinatown,Chinatown
"Mar 18, 2016",Pee Wee
Pee-Wee's Big Holiday,Pee Wee
"Jul 22, 1988",Pee Wee
Big Top Pee-Wee,Pee Wee
"Jul 26, 1985",Pee Wee
Pee Wee's Big Adventure,Pee Wee
"Dec 19, 1984",Breakin'
Breakin' 2: Electric Boogaloo,Breakin'
"May 4, 1984",Breakin'
Breakin',Breakin'
My Friends Tigger & Pooh - …,Winnie the Pooh
"Feb 11, 2005",Winnie the Pooh
Pooh's Heffalump Movie,Winnie the Pooh
Winnie the Pooh: Springtime…,Winnie the Pooh
"Mar 21, 2003",Winnie the Pooh
Piglet's Big Movie,Winnie the Pooh
"Feb 11, 2000",Winnie the Pooh
The Tigger Movie,Winnie the Pooh
The Many Adventures of Winn…,Winnie the Pooh
"Feb 10, 1989",Fly
The Fly II,Fly
"Aug 15, 1986",Fly
The Fly,Fly
"Aug 9, 1996",Escape from New York
Escape from L.A.,Escape from New York
"Jul 10, 1981",Escape from New York
Escape from New York,Escape from New York
"Aug 24, 2007",Bean
Mr. Beanâs Holiday,Bean
"Oct 17, 1997",Bean
Bean,Bean
"Sep 14, 2018",Unbroken
Unbroken: Path to Redemption,Unbroken
"Dec 25, 2014",Unbroken
Unbroken,Unbroken
"Oct 12, 2018",Goosebumps
Goosebumps 2: Haunted Hallo…,Goosebumps
"Oct 16, 2015",Goosebumps
Goosebumps,Goosebumps
"Nov 9, 2018",Millennium (English)
The Girl in the Spiderâs Web,Millennium (English)
"Dec 20, 2011",Millennium (English)
The Girl with the Dragon Ta…,Millennium (English)
"Jul 28, 2020",Deep Blue Sea
Deep Blue Sea 3,Deep Blue Sea
"Apr 17, 2018",Deep Blue Sea
