movie,franchise
"Jun 10, 2022",Jurassic Park
Jurassic World: Dominion,Jurassic Park
"Jun 22, 2018",Jurassic Park
Jurassic World: Fallen Kingdom,Jurassic Park
"Jun 12, 2015",Jurassic Park
Jurassic World,Jurassic Park
"Jul 18, 2001",Jurassic Park
Jurassic Park III,Jurassic Park
"May 22, 1997",Jurassic Park
The Lost World: Jurassic Park,Jurassic Park
"Jun 11, 1993",Jurassic Park
Jurassic Park,Jurassic Park
"Jul 22, 2016",Star Trek
Star Trek Beyond,Star Trek
"May 16, 2013",Star Trek
Star Trek Into Darkness,Star Trek
"May 8, 2009",Star Trek
Star Trek,Star Trek
"Dec 13, 2002",Star Trek
Star Trek: Nemesis,Star Trek
"Dec 11, 1998",Star Trek
Star Trek: Insurrection,Star Trek
"Nov 22, 1996",Star Trek
Star Trek: First Contact,Star Trek
"Nov 18, 1994",Star Trek
Star Trek: Generations,Star Trek
"Dec 6, 1991",Star Trek
Star Trek VI: The Undiscove…,Star Trek
"Jun 9, 1989",Star Trek
Star Trek V: The Final Fron…,Star Trek
"Nov 26, 1986",Star Trek
Star Trek IV: The Voyage Home,Star Trek
"Jun 1, 1984",Star Trek
Star Trek III: The Search f…,Star Trek
"Jun 4, 1982",Star Trek
Star Trek II: The Wrath of …,Star Trek
"Dec 7, 1979",Star Trek
Star Trek: The Motion Picture,Star Trek
"Dec 31, 2018",Peter Jackson's Lord of the Rings
Lord Of The Rings Trilogy,Peter Jackson's Lord of the Rings
"Dec 17, 2014",Peter Jackson's Lord of the Rings
The Hobbit: The Battle of t…,Peter Jackson's Lord of the Rings
"Dec 13, 2013",Peter Jackson's Lord of the Rings
The Hobbit: The Desolation …,Peter Jackson's Lord of the Rings
"Dec 14, 2012",Peter Jackson's Lord of the Rings
The Hobbit: An Unexpected J…,Peter Jackson's Lord of the Rings
"Dec 17, 2003",Peter Jackson's Lord of the Rings
The Lord of the Rings: The …,Peter Jackson's Lord of the Rings
"Dec 18, 2002",Peter Jackson's Lord of the Rings
The Lord of the Rings: The …,Peter Jackson's Lord of the Rings
"Dec 19, 2001",Peter Jackson's Lord of the Rings
The Lord of the Rings: The …,Peter Jackson's Lord of the Rings
"Jun 2, 2023",DC Extended Universe
Shazam! Fury of the Gods,DC Extended Universe
"Dec 16, 2022",DC Extended Universe
Aquaman 2,DC Extended Universe
"Nov 4, 2022",DC Extended Universe
The Flash,DC Extended Universe
"Aug 6, 2021",DC Extended Universe
The Suicide Squad,DC Extended Universe
