popularity,vote_count,id,genre_ids,title,vote_average,release_date
64.923,9901,tt2283362,"[28, 12, 35, 14]",Jumanji: Welcome to the Jungle,6.8,2017-12-09
57.995,5193,tt4500922,"[28, 878]",Maze Runner: The Death Cure,7.1,2018-01-10
63.625,9904,tt3385516,"[28, 12, 878, 14]",X-Men: Apocalypse,6.5,2016-05-18
73.718,11183,tt2527336,"[28, 12, 878]",Star Wars: The Last Jedi,6.9,2017-12-13
65.707,10958,tt3890160,"[28, 80]",Baby Driver,7.5,2017-06-28
53.961999999999996,4292,tt2935510,"[878, 18]",Ad Astra,6.1,2019-09-17
58.04,6037,tt2316204,"[27, 878]",Alien: Covenant,6.0,2017-05-09
55.254,76,tt7831358,"[35, 27, 53]",Harpoon,6.2,2019-01-24
58.45399999999999,604,tt6141246,"[12, 18, 10749]",The Aeronauts,6.9,2019-11-04
60.598,909,tt6513656,[28],Escape Plan 2: Hades,5.0,2018-06-05
59.792,1749,tt4244998,"[12, 18]",Alpha,6.3,2018-08-17
57.073,137,tt2034176,"[28, 27]",Redcon-1,5.8,2018-09-07
60.278,617,tt5968394,[878],Captive State,5.6,2019-03-15
63.306000000000004,2634,tt1679335,"[12, 10751, 35, 14, 10402, 16]",Trolls,6.7,2016-10-13
56.434,1981,tt3411444,"[16, 10751, 12, 35]",Ferdinand,7.2,2017-12-09
50.835,4404,tt7784604,"[27, 9648, 53]",Hereditary,7.1,2018-06-07
76.12899999999999,8773,tt1872181,"[28, 12, 14]",The Amazing Spider-Man 2,6.4,2014-04-16
54.5,389,tt9134216,"[35, 10751]",Playing with Fire,7.0,2019-11-08
55.358000000000004,4039,tt5140878,"[27, 9648, 53]",Annabelle: Creation,6.6,2017-08-03
63.918,5162,tt1291150,"[878, 28, 12, 35]",Teenage Mutant Ninja Turtles,5.9,2014-08-07
49.254,4592,tt1591095,"[27, 53]",Insidious,6.9,2010-09-13
56.872,2403,tt5028340,"[35, 14, 10751]",Mary Poppins Returns,6.5,2018-12-13
51.32,5715,tt3778644,"[12, 878]",Solo: A Star Wars Story,6.6,2018-05-15
59.935,17145,tt1392190,"[28, 12, 878]",Mad Max: Fury Road,7.5,2015-05-13
66.645,12276,tt2948356,"[16, 12, 10751, 35]",Zootopia,7.7,2016-02-11
55.953,351,tt6643972,"[53, 28]",Triple Threat,6.4,2019-03-19
66.538,14616,tt3183660,"[12, 14]",Fantastic Beasts and Where to Find Them,7.4,2016-11-16
