id,popularity,vote_count,genre_ids,title,vote_average,release_date
tt4912910,72.755,5400,"[28, 12]",mission impossible fallout,7.4,2018-07-13
tt2114504,72.632,475,"[16, 35, 10751]",woody woodpecker,6.7,2017-10-05
tt7083526,72.583,576,[18],breakthrough,7.5,2019-04-10
tt1324999,72.128,6504,"[12, 14, 10749]",the twilight saga breaking dawn part 1,6.2,2011-11-16
tt9625664,72.025,239,"[28, 53]",trauma center,5.8,2019-12-06
tt1911658,71.719,2933,"[10751, 16, 12, 35]",penguins of madagascar,6.5,2014-11-22
tt3315342,71.561,14919,"[28, 18, 878]",logan,7.8,2017-02-28
tt1457767,71.52600000000002,7598,"[27, 53]",the conjuring,7.5,2013-03-20
tt2446042,71.132,4166,"[28, 53]",taken 3,6.2,2014-12-16
tt6079516,71.016,270,"[53, 9648, 27]",i see you,6.7,2019-09-11
tt2267968,70.98100000000002,3821,"[28, 12, 16, 35, 10751]",kung fu panda 3,6.8,2016-01-23
tt1325004,70.964,6392,"[12, 18, 14, 10749]",the twilight saga eclipse,6.2,2010-06-23
tt2395427,70.94,16731,"[28, 12, 878]",avengers age of ultron,7.3,2015-04-22
tt0499549,70.878,22270,"[28, 12, 14, 878]",avatar,7.5,2009-12-10
tt0444682,70.73100000000002,509,[27],the reaping,5.6,2007-04-05
tt8688634,70.559,986,"[28, 80, 18]",21 bridges,6.8,2019-10-24
tt5028340,70.206,2405,"[14, 10751, 35]",mary poppins returns,6.5,2018-12-13
tt1673434,70.089,6575,"[12, 14, 18, 10749]",the twilight saga breaking dawn part 2,6.4,2012-11-13
tt0481499,69.946,4919,"[28, 12, 16, 35, 10751, 14]",the croods,6.9,2013-03-20
tt5580390,69.807,9197,"[18, 14, 10749]",the shape of water,7.3,2017-12-01
tt5164214,69.595,5712,"[80, 35, 28, 53]",oceans eight,7.0,2018-06-07
tt10548944,69.413,282,"[28, 16]",teen titans go! vs teen titans,8.0,2019-07-21
tt9243946,69.02199999999999,2845,"[80, 18, 53, 28]",el camino a breaking bad movie,6.9,2019-10-11
tt1211837,68.983,15919,"[28, 12, 14, 878]",doctor strange,7.4,2016-10-25
tt3896198,68.494,15595,"[28, 12, 35, 878]",guardians of the galaxy vol 2,7.6,2017-04-19
tt1571234,68.067,3034,"[12, 14]",mortal engines,6.1,2018-11-27
tt0319970,67.642,235,"[10770, 18, 27]",carrie,5.9,2002-11-04
tt2231461,67.52,4745,"[28, 12, 878]",rampage,6.4,2018-04-12
tt2713180,67.438,8477,"[10752, 18, 28]",fury,7.5,2014-10-15
tt0443453,67.334,3497,[35],borat cultural learnings of america for make benefit glorious nation of kazakhstan,6.7,2006-11-01
tt1201607,67.24600000000001,14589,"[14, 12]",harry potter and the deathly hallows part 2,8.1,2011-07-07
tt0121164,67.22399999999999,5881,"[10749, 14, 16]",corpse bride,7.4,2005-09-12
tt11276598,67.199,80,"[12, 16, 35, 10751]",pets united,6.2,2019-11-08
tt0373889,67.156,13758,"[12, 14, 9648]",harry potter and the order of the phoenix,7.7,2007-06-28
tt0145487,67.12899999999999,12545,"[28, 14]",spiderman,7.2,2002-05-01
tt2802144,67.117,12333,"[28, 12, 35, 80]",kingsman the secret service,7.6,2014-12-13
tt3344680,66.656,769,"[28, 18]",boyka undisputed iv,6.8,2016-08-01
tt0298148,66.173,8186,"[16, 10751, 35, 14, 12]",shrek 2,7.1,2004-05-19
tt8623904,66.069,1154,"[35, 10749, 18]",last christmas,7.3,2019-11-07
tt1663662,66.014,9089,"[28, 878, 12]",pacific rim,6.8,2013-07-11
tt6988208,65.882,78,[27],house of the witch,4.5,2017-10-07
tt2948356,65.806,12280,"[16, 12, 10751, 35]",zootopia,7.7,2016-02-11
tt0462538,65.732,5796,"[16, 35, 10751]",the simpsons movie,7.0,2007-07-26
tt2527336,65.624,11185,"[28, 12, 878]",star wars the last jedi,6.9,2017-12-13
tt3498820,65.567,16996,"[12, 28, 878]",captain america civil war,7.4,2016-04-27
tt1291150,65.542,5164,"[878, 28, 12, 35]",teenage mutant ninja turtles,5.9,2014-08-07
tt0365929,64.632,459,"[28, 80, 9648, 53]",whiteout,5.5,2009-09-09
tt4477536,64.006,5621,"[18, 10749]",fifty shades freed,6.6,2018-01-17
tt3799232,63.947,5536,"[35, 10749]",the kissing booth,7.3,2018-05-11
tt0926084,63.563,13576,"[12, 14]",harry potter and the deathly hallows part 1,7.8,2010-10-17
tt5758778,63.534,3381,[28],skyscraper,6.3,2018-07-11
tt8318702,63.447,36,"[28, 12, 27]",drailed,4.7,2018-12-01
tt1872181,63.375,8779,"[28, 12, 14]",the amazing spiderman 2,6.4,2014-04-16
tt1259571,62.868,6716,"[12, 18, 14, 10749]",the twilight saga new moon,6.0,2009-11-18
tt5052474,62.825,2061,"[28, 80, 18, 53]",sicario day of the soldado,6.8,2018-06-27
tt5726616,62.64100000000001,8106,"[18, 10749]",call me by your name,8.3,2017-09-01
tt5814060,62.515,4227,"[27, 9648, 53]",the nun,5.8,2018-09-05
tt0468569,61.787,23590,"[18, 28, 80, 53]",the dark knight,8.5,2008-07-16
tt0371746,61.61,19311,"[28, 12, 878]",iron man,7.6,2008-04-30
tt5493944,61.605,678,"[12, 14, 10749, 18, 10751]",the little mermaid,5.0,2018-08-02
tt4123430,61.218,7400,"[12, 14, 18]",fantastic beasts the crimes of grindelwald,6.9,2018-11-14
tt1679335,61.207,2635,"[12, 10751, 35, 14, 10402, 16]",trolls,6.7,2016-10-13
tt3861390,61.122,3194,"[12, 10751, 14]",dumbo,6.7,2019-03-27
tt6823368,60.97,5643,"[53, 18, 878]",glass,6.6,2019-01-16
tt3758162,60.908,279,"[28, 18, 53]",a score to settle,6.3,2019-08-01
tt1727824,60.813,12133,"[18, 10402]",bohemian rhapsody,8.0,2018-10-24
tt6220752,60.56100000000001,65,"[27, 53]",pledge,5.4,2019-01-11
tt6472976,60.457,3511,"[18, 10749]",five feet apart,8.3,2019-03-15
tt3385516,60.20399999999999,9909,"[28, 12, 878, 14]",xmen apocalypse,6.5,2016-05-18
tt8781414,60.194,517,"[18, 9648, 878, 53]",freaks,6.8,2018-09-08
tt2283362,60.168,9903,"[28, 12, 35, 14]",jumanji welcome to the jungle,6.8,2017-12-09
tt6513656,60.06,910,[28],escape plan 2 hades,5.0,2018-06-05
tt2872732,59.886,12308,"[28, 878]",lucy,6.4,2014-07-25
tt6644200,59.662,8904,"[27, 18, 878]",a quiet place,7.3,2018-04-03
tt1119646,59.535,12621,[35],the hangover,7.3,2009-06-02
tt0892791,59.50899999999999,4982,"[35, 12, 14, 16, 10751]",shrek forever after,6.2,2010-05-16
tt8350360,59.097,2029,"[27, 53, 9648]",annabelle comes home,6.4,2019-06-26
tt3920820,58.815,51,[18],brian banks,6.9,2019-08-09
tt0325980,58.541,15152,"[12, 14, 28]",pirates of the caribbean the curse of the black pearl,7.7,2003-07-09
tt1951265,58.423,11998,"[878, 12, 53]",the hunger games mockingjay part 1,6.8,2014-11-19
tt1502407,58.422,2999,[27],halloween,6.5,2018-10-18
tt5941692,58.224,292,[28],miss bala,6.4,2019-02-01
tt3731562,58.191,7528,"[28, 12, 14]",kong skull island,6.4,2017-03-08
tt1636826,57.945,4106,[35],project x,6.7,2012-03-01
tt2428170,57.81,785,"[27, 53]",creep,6.3,2014-06-23
tt1646971,57.75,6994,"[14, 28, 12, 16, 35, 10751]",how to train your dragon 2,7.7,2014-06-09
tt4073790,57.729,1872,"[28, 12, 18, 878, 53, 10749]",the darkest minds,7.0,2018-07-25
tt6772804,57.342,447,"[28, 53]",escape plan the extractors,5.1,2019-06-20
tt1922777,57.205,3674,"[27, 53, 9648]",sinister,6.8,2012-03-29
tt2975590,57.147,13946,"[28, 12, 14]",batman v superman dawn of justice,5.9,2016-03-23
tt2126355,56.93899999999999,6204,"[28, 18, 53]",san andreas,6.2,2015-05-27
tt3371366,56.937,4144,"[28, 12, 14, 878]",transformers the last knight,6.0,2017-06-16
tt0993846,56.903,16289,"[80, 18, 35]",the wolf of wall street,8.0,2013-12-25
tt5968394,56.82100000000001,617,[878],captive state,5.6,2019-03-15
tt2279373,56.468,1581,"[12, 35, 10751, 14, 16]",the spongebob movie sponge out of water,6.0,2015-01-28
tt5452780,56.404,1082,"[12, 16, 35, 14, 10402, 10751]",olafs frozen adventure,6.3,2017-10-27
tt8368406,56.217,710,"[878, 27, 9648]",vivarium,6.0,2019-09-07
tt2771200,56.161,12913,"[10751, 14, 10749]",beauty and the beast,7.0,2017-03-16
tt2510894,56.161,4054,"[16, 35, 10751, 14]",hotel transylvania 2,6.8,2015-09-21
tt3065204,55.871,5425,"[27, 9648, 53]",the conjuring 2,7.2,2016-05-13
tt0257516,55.862,386,"[27, 35]",cursed,5.3,2005-02-25
tt1985949,55.824,2528,"[16, 12, 35]",the angry birds movie,6.2,2016-05-11
tt3717490,55.752,3341,"[28, 12, 878]",power rangers,6.3,2017-03-23
tt7984766,55.694,1727,"[18, 36, 10752]",the king,7.2,2019-10-11
tt2908446,55.679,7983,"[28, 12, 878, 53]",insurgent,6.4,2015-03-18
tt0166813,55.665,3096,"[12, 16, 35, 18, 37, 10751]",spirit stallion of the cimarron,7.7,2002-05-24
tt8752498,55.456,240,"[28, 16, 14]",wonder woman bloodlines,7.1,2019-10-04
tt1846589,55.416,1271,"[28, 53]",hunter killer,6.6,2018-10-19
tt0407887,55.359,10317,"[80, 18, 53]",the departed,8.2,2006-10-05
tt6141246,55.317,604,"[12, 18, 10749]",the aeronauts,6.9,2019-11-04
tt5523010,55.24100000000001,1546,"[12, 14, 10751]",the nutcracker and the four realms,6.1,2018-10-26
tt4500922,55.216,5197,"[28, 878]",maze runner the death cure,7.1,2018-01-10
tt7832848,55.185,123,"[28, 53]",inside man most wanted,6.7,2019-09-24
tt2034800,55.174,3580,"[28, 12, 14]",the great wall,5.9,2016-12-16
tt9134216,55.125,391,"[35, 10751]",playing with fire,7.0,2019-11-08
tt0383574,55.087,11545,"[28, 12, 14]",pirates of the caribbean dead mans chest,7.3,2006-07-06
tt2034176,55.083,137,"[28, 27]",redcon1,5.8,2018-09-07
tt7869070,55.04600000000001,110,"[80, 53]",the fanatic,4.2,2019-08-30
tt2820852,55.008,7876,"[28, 53]",furious 7,7.3,2015-04-01
tt5664636,54.447,883,"[12, 35, 14, 27, 10751]",goosebumps 2 haunted halloween,6.0,2018-10-11
tt0441881,54.423,95,"[28, 18, 36, 10752]",danger close,6.4,2019-08-08
tt8946378,54.119,5862,"[9648, 53, 35, 18, 80]",knives out,7.9,2019-11-27
tt0267913,53.981,2926,"[12, 35, 9648]",scoobydoo,5.9,2002-06-14
tt0387564,53.628,6098,"[80, 27, 9648]",saw,7.4,2004-10-01
tt0257106,53.606,3064,[35],scary movie 2,5.7,2001-07-04
tt0800369,53.57100000000001,15551,"[12, 14, 28]",thor,6.8,2011-04-21
tt3411444,53.231,1981,"[16, 10751, 12, 35]",ferdinand,7.2,2017-12-09
tt2096673,52.89,15604,"[18, 35, 16, 10751]",inside out,7.9,2015-06-09
tt5164432,52.82,4542,"[35, 18, 10749]",love simon,8.2,2018-02-16
tt4729430,52.75100000000001,1890,"[16, 10751, 12, 35]",klaus,8.3,2019-11-08
tt0462499,52.56800000000001,2430,"[28, 53]",rambo,6.6,2008-01-24
tt1392190,52.548,17148,"[28, 12, 878]",mad max fury road,7.5,2015-05-13
tt1289401,52.417,4657,"[28, 35, 14]",ghostbusters,5.4,2016-07-14
tt2488496,52.273,15070,"[28, 12, 878, 14]",star wars the force awakens,7.4,2015-12-15
tt0268380,52.206,9420,"[16, 35, 10751, 12]",ice age,7.3,2002-03-10
tt4972582,52.157,13023,"[27, 53]",split,7.3,2017-01-09
tt3541524,52.155,79,"[28, 80, 53]",line of duty,5.6,2019-12-25
tt4046784,51.95399999999999,7584,"[28, 878, 53]",maze runner the scorch trials,6.7,2015-09-09
