id,studio,rating,budget,dom_gross,world_gross
tt7616798,Sony Pictures Entertainment (SPE),PG,18000000.0,42004346.0,80708134.0
tt0878804,Warner Bros.,PG-13,29000000.0,255959475.0,309208309.0
tt3183660,Warner Bros.,PG-13,180000000.0,234037575.0,814043616.0
tt1528100,Twentieth Century Fox,PG-13,140000000.0,65014513.0,268175631.0
tt3778644,Walt Disney Studios Motion Pictures,PG-13,275000000.0,213767512.0,392924807.0
tt2543472,Lionsgate,PG,,132422809.0,305940606.0
tt1300854,Walt Disney Studios Motion Pictures,PG-13,200000000.0,409013994.0,1214811252.0
tt1772341,Walt Disney Studios Motion Pictures,PG,165000000.0,189422889.0,471222889.0
tt4532826,Lionsgate,PG-13,100000000.0,30824628.0,86493046.0
tt4877122,Sony Pictures Entertainment (SPE),PG,50000000.0,86089513.0,217776646.0
tt10622136,,0,,,
tt5606664,Warner Bros.,R,45000000.0,31581712.0,72381712.0
tt1587310,Walt Disney Studios Motion Pictures,PG,180000000.0,241410378.0,758411779.0
tt0198781,Walt Disney Studios Motion Pictures,G,115000000.0,290642256.0,579707070.0
tt2316204,Twentieth Century Fox,R,97000000.0,74262031.0,240891763.0
tt3513498,Warner Bros.,PG,99000000.0,105806508.0,192306508.0
tt1298650,Walt Disney Studios Motion Pictures,PG-13,250000000.0,241071802.0,1045713802.0
tt0948470,Sony Pictures Entertainment (SPE),PG-13,230000000.0,262030663.0,757930663.0
tt0167260,New Line Cinema,PG-13,94000000.0,377845905.0,1142456987.0
tt4244998,Studio 8,PG-13,51000000.0,35857181.0,98203196.0
tt0478970,Walt Disney Studios Motion Pictures,PG-13,130000000.0,180202163.0,519311965.0
tt3110958,Lionsgate,PG-13,,65075540.0,334897606.0
tt1228705,Paramount Pictures,PG-13,200000000.0,312433331.0,623933331.0
tt6643972,Well Go USA Entertainment,R,,76289.0,345900.0
tt9382596,,0,,,
tt7831358,,0,,,
tt8186318,Affirm Films,PG,5000000.0,34746945.0,38026103.0
tt4007502,,G,,,
tt1790809,Walt Disney Studios Motion Pictures,PG-13,230000000.0,172558876.0,794881442.0
tt6645614,,0,,,
tt1267297,Paramount Pictures,PG-13,100000000.0,72688614.0,244819862.0
tt0434409,Warner Bros.,R,54000000.0,70511035.0,132511035.0
tt8752440,,PG-13,,,
tt1979388,Walt Disney Studios Motion Pictures,PG,,123087120.0,332207671.0
tt3584496,,0,,,116466.0
tt2582802,Sony Pictures Classics,R,3300000.0,13092000.0,49109539.0
tt4790268,,R,,,
tt0385887,Warner Bros.,R,26000000.0,9277736.0,18477736.0
tt1413492,Warner Bros.,R,,45819713.0,67450815.0
tt4158096,A24,R,,1799312.0,3719383.0
tt0816711,Paramount Pictures,PG-13,190000000.0,202359711.0,540007876.0
tt1411697,Warner Bros.,R,80000000.0,254464305.0,586764305.0
tt1029360,Twentieth Century Fox,PG-13,35000000.0,47425125.0,95437994.0
tt1261978,,0,,,
tt2911666,Lionsgate,R,20000000.0,43037835.0,86081711.0
tt0372784,Warner Bros.,PG-13,150000000.0,206852432.0,373661301.0
tt0167261,New Line Cinema,PG-13,94000000.0,342551365.0,943396133.0
tt10767720,,R,,,
tt0936501,Twentieth Century Fox,PG-13,25000000.0,145000989.0,226837760.0
tt3235888,RADiUS-TWC,R,,14674076.0,21729511.0
tt3846674,,0,,,
tt1981115,Walt Disney Studios Motion Pictures,PG-13,170000000.0,206362140.0,644783140.0
tt1951261,Warner Bros.,R,103000000.0,112200072.0,362000072.0
tt0252866,Universal Pictures,R,30000000.0,145103595.0,287553595.0
tt6182908,Warner Bros.,PG,,83240103.0,214040103.0
tt0472043,Walt Disney Studios Motion Pictures,R,40000000.0,50866635.0,120673227.0
tt0449088,Walt Disney Studios Motion Pictures,PG-13,300000000.0,309420425.0,960996492.0
tt3605418,Lionsgate Premiere,R,,36336.0,5567103.0
tt3450958,Twentieth Century Fox,PG-13,150000000.0,146880162.0,490719763.0
tt7295450,,R,,,146339.0
tt7167602,,R,,,
tt4913966,Warner Bros.,R,9000000.0,54733739.0,123133739.0
tt0790736,Universal Pictures,PG-13,130000000.0,33618855.0,78324220.0
tt0804555,,R,,,
